books/aw/AhoHU74|books/cs/NaqviT89|books/mit/fayyadPSU96/HanF96|books/mit/fayyadPSU96/ShenOMZ96|books/mit/fayyadPSU96/SimoudisLK96|conf/alt/MuggletonF90|conf/dood/FuH95|conf/dood/KeroRTS95|conf/ecai/Bisson92|conf/kdd/AronisP94|conf/kdd/BrachmanA94|conf/kdd/LaerDR94|conf/kdd/ShenMOZ94|journals/ijcis/BrachmanSTAHKL93|journals/jair/MooneyC95|journals/ml/Fisher87|journals/ml/KietzM94|journals/ml/PazzaniK92|journals/ml/Quinlan90|journals/ml/Wrobel94,http://doi.ieeecomputersociety.org/10.1109/69.553157|https://doi.org/10.1109/69.553157,IEEE Trans. Knowl. Data Eng.,journals/tkde/ShenL96,20/05/2017,898-910,A Metapattern-Based Automated Discovery Loop for Integrated Data Mining - Unsupervised Learning of Relational Patterns.,8,1996,journal,,,Wei-Min Shen,,Kevin Hughes|Helmut Thöne|Patsy S. Yu
books/aw/kimL89/BretlMOPSSWW89|books/aw/kimL89/KimBCGW89|conf/adc/ProperW93|conf/caise/HofstedePW92|conf/caise/Troyer91|conf/caise/WiederholdJL91|conf/dbpl/BruceW87|conf/dbpl/Ohori87|conf/dexa/FalkenbergOP92|conf/dexa/HofstedePW94|conf/er/TreschS92|conf/oopsla/SkarraZ86|conf/sigmod/BanerjeeKKK87|conf/sigmod/SnodgrassA85|conf/tdb/CliffordR87|journals/acj/Roddick91|journals/acta/WijngaardenMPKSLMF75|journals/ai/Allen84|journals/cacm/McGregorK90a|journals/csur/CardelliW85|journals/csur/Katz90|journals/dke/EngelsGHHLSE92|journals/dke/HofstedeW93|journals/dke/NguyenR89|journals/dke/ProperW94|journals/is/HofstedePW93|journals/is/RoddickP92|journals/sigmod/Snodgrass90|journals/tods/Chen76,http://doi.ieeecomputersociety.org/10.1109/69.476503|https://doi.org/10.1109/69.476503,IEEE Trans. Knowl. Data Eng.,journals/tkde/ProperW95,08/06/2017,984-996,A General Theory for Evolving Application Models.,7,1995,journal,,,Henderik Alex Proper,,Pavel Velikhov|Klaus Weidenhaupt|Tarik Beldjilali
conf/ccs/BertinoBS94|conf/ccs/BertinoSJ93|conf/iclp/GelfondL88|conf/pods/BaudinetNW91|conf/sigmod/GuptaMS93|conf/usenix/SteinerNS88|conf/vldb/CeriW91|journals/csec/WooL93|journals/jacm/GelderRS91|journals/toplas/AbadiBLP93,http://doi.ieeecomputersociety.org/10.1109/69.485637|https://doi.org/10.1109/69.485637,IEEE Trans. Knowl. Data Eng.,journals/tkde/BertinoBFS96,02/11/2018,67-80,A Temporal Access Control Mechanism for Database Systems.,8,1996,journal,,,Elisa Bertino,,Jia Wang 0002|Lisa Ann Smith|Nigel Baker
conf/icde/Lee92|conf/icde/LimSPR93|conf/vldb/Dayal83|journals/computer/LitwinA86|journals/computer/Zadeh88|journals/dpd/TsengCY93|journals/sigmod/ChatterjeeS91|journals/tkde/BarbaraGP92|journals/tkde/DeMichiel89|journals/tkde/Takahashi93|journals/tse/LarsonNE89,http://doi.ieeecomputersociety.org/10.1109/69.542025|https://doi.org/10.1109/69.542025,IEEE Trans. Knowl. Data Eng.,journals/tkde/LimSS96,02/11/2018,707-723,An Evidential Reasoning Approach to Attribute Value Conflict Resolution in Database Integration.,8,1996,journal,,,Ee-Peng Lim,,Minglin Deng|Yuriko Yoshizawa|Ephraim P. Glinert
books/aw/BernsteinHG87|conf/ac/Gray78|conf/podc/BernsteinG83|conf/podc/WuuB84|conf/sigmod/ChanFLNR82|conf/sigmod/StearnsR81|conf/sosp/Gifford79|journals/cacm/EswarranGLT76|journals/csur/BernsteinG81|journals/dc/AgrawalBGS87|journals/ins/HeddayaHW89|journals/jacm/Papadimitriou79b|journals/tocs/Herlihy86|journals/tods/BernsteinG83|journals/tods/Garcia-MolinaW82|journals/tods/KungR81|journals/tods/Thomas79|journals/tse/ChanG85|journals/tse/Weihl87,http://doi.ieeecomputersociety.org/10.1109/69.204097|https://doi.org/10.1109/69.204097,IEEE Trans. Knowl. Data Eng.,journals/tkde/AgrawalS93,20/05/2017,126-137,"Modular Synchronization in Distributed, Multiversion Databases: Version Control and Concurrency Control.",5,1993,journal,,,Divyakant Agrawal,,Gilles Muller|Tse-Yu Yeh|David Gelernter
books/cs/Ullman89|books/mit/PF91/BergadanoGSBM91|books/mit/PF91/CaiCH91|books/mit/PiatetskyF91|books/mk/Minker88|books/sp/Lloyd84|conf/alt/MuggletonF90|conf/eds/Zaniolo86|conf/icml/PazzaniBS91|conf/icml/RichardsM91|conf/sigmod/BancilhonR86|journals/ai/Michalski83|journals/ai/RaedtB92|journals/cacm/GrantM92|journals/ml/Bergadanoa92|journals/ml/Quinlan90|journals/tkde/CeriGT89|journals/tkde/Yasdi91|journals/tkde/YounKHH92,http://doi.ieeecomputersociety.org/10.1109/69.250079|https://doi.org/10.1109/69.250079,IEEE Trans. Knowl. Data Eng.,journals/tkde/Bergadano93,20/05/2017,969-972,Inductive Database Relations.,5,1993,journal,,,Francesco Bergadano,,Jay M. Tenenbaum|Yoshiaki Fukushima|Abdelaziz Abdellatif
books/aw/Knuth73a|conf/db-workshops/CareyD85|conf/icde/BittonHT87|conf/icde/KumarB91|conf/iwdm/Eich87|conf/sigmod/DeWittKOSSW84|conf/sigmod/Group88|conf/sigmod/HaasFLP89|conf/sigmod/LehmanC86|conf/sigmod/LehmanC87|conf/sigmod/LindsayMP87|conf/sigmod/Lohman88|conf/vldb/BittonDT83|conf/vldb/CareySLLM90|conf/vldb/GottemukkalaL92|conf/vldb/LehmanC86|journals/cacm/ChamberlinABGKLLMPPSSSTWY81|journals/tc/Hagmann86|journals/tkde/DeWittGSBHR90|journals/tkde/HaasCLMWLLPCS90|journals/tkde/SalemG90|journals/tkde/StonebrakerRH90|journals/tods/AstrahanBCEGGKLMMPTWW76|journals/tods/Harder78|journals/tods/WhangK90,http://doi.ieeecomputersociety.org/10.1109/69.180606|https://doi.org/10.1109/69.180606,IEEE Trans. Knowl. Data Eng.,journals/tkde/LehmanSC92,20/05/2017,555-566,An Evaluation of Starburst's Memory Resident Storage Component.,4,1992,journal,,,Tobin J. Lehman,,Masayo Kaji|Laura Yedwab|Holger Horn
books/aw/Knuth73|books/cu/DunnE82|books/mit/PF91/FrawleyPM91|conf/chi/AhlbergWS92|conf/dbvis/Keim95|conf/icde/AnwarBN92|conf/icde/KeimKS94|conf/icde/Vasudevan94|conf/sigmod/ConsensM93|conf/sigmod/KeimK95|conf/sigmod/ParkCY95|conf/vdb/KeimK95|conf/vldb/AgrawalS94|conf/vldb/NgH94|journals/ipm/SaltonB88|journals/jiis/GaasterlandGM92|journals/tkde/HanCC93|journals/tkde/MatheusCP93|journals/tkde/Motro90|journals/tog/Shneiderman92,http://doi.ieeecomputersociety.org/10.1109/69.553159|https://doi.org/10.1109/69.553159,IEEE Trans. Knowl. Data Eng.,journals/tkde/KeimK96,20/05/2017,923-938,Visualization Techniques for Mining Large Databases: A Comparison.,8,1996,journal,,,Daniel A. Keim,databases,Harry R. Lewis|Dongqing Yang|Fèlix Saltor|K. Gopinath|Robert Wrembel|Dan W. Hammerstrom|Robert Veroff|Hiroaki Harada|Junguk L. Kim
conf/edbt/ImielinskiVB94|conf/sigmod/AcharyaAFZ95|conf/sigmod/AlonsoK93|conf/sigmod/BarbaraI94|conf/sigmod/HermanGLW87|conf/sigmod/ImielinskiVB94|journals/cacm/BowenGHHLMRW92|journals/pieee/Wong88,http://doi.ieeecomputersociety.org/10.1109/69.599926|https://doi.org/10.1109/69.599926|https://www.wikidata.org/entity/Q56387506,IEEE Trans. Knowl. Data Eng.,journals/tkde/ImielinskiVB97,14/11/2018,353-372,Data on Air: Organization and Access.,9,1997,journal,,,Tomasz Imielinski,data,Randy Kerber|Kjell Bratbergsengen|Carol Small|Abraham Silberschatz
books/bc/TanselCGJSS93|books/el/leeuwen90/Emerson90|books/mk/Cattell96|conf/focs/Pnueli77|conf/icde/DayDIKG95|conf/icde/SubramanianLVZ95|conf/sigmod/Cruz92|conf/spieSR/DaneelsCNEBBF93|conf/spieSR/NiblackBEFGPYFT93|conf/vldb/GabbayM91|conf/vldb/Richardson92|journals/cacm/Allen83|journals/cacm/ChuCHY96|journals/debu/AryaCFRT93|journals/is/ChuCT95|journals/is/CuppensD89|journals/is/WeilandS93|journals/tkde/BachPJ93|journals/tkde/BimboVZ95|journals/tkde/CardenasITBB93|journals/tkde/ChuC94|journals/tkde/DionisioC98|journals/tkde/HsuCT96|journals/tkde/LittleG93|journals/tkde/MohanK93|journals/tkde/WorthLK92|journals/tse/ChangYDA88|journals/tse/RoussopoulosFS88|journals/vlc/DionisioC96|journals/vldb/ChuIT94,http://doi.ieeecomputersociety.org/10.1109/69.738355|https://doi.org/10.1109/69.738355,IEEE Trans. Knowl. Data Eng.,journals/tkde/ChuHCT98,20/05/2017,872-888,Knowledge-Based Image Retrieval with Spatial and Temporal Constructs.,10,1998,journal,,,Wesley W. Chu,knowledge,Chip Cleary|Jia-Jie Li|Jack R. Adams-Webber|Brian N. Bershad|S. K. C. Subas|Philip T. Mueller Jr.|Chandramohan A. Thekkath|Fereidoon Sadri|Scott B. Huffman
